	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
0	0.2762864	-0.42601922	0.36318967	0.03502772	-0.50792515	0.095408835	-0.17446838	0.051605333	0.72468996	1.2789055	0.9958528	-0.1921125	0.39428243	1.0497968	-0.4386734	0.5707766	0.06673454	0.2818869	-0.64752984	-0.41619664	0.98641455	1.4304359	1.0518432	0.28773922	-0.46791205	0.9794676	0.32123008	0.5312012	0.95629317	0.5018699	-0.27332047	-1.4361688	1.0071816	-1.2160871	-0.93665355	-0.6482061	-0.3958807	0.53318346	0.9668431	0.17521897	0.45342046	0.15656339	0.59001756	-0.49963322	0.8491544	-0.33646855	-0.69592977	-0.060170833	1.2985332	-0.4807599	-0.7916354	0.32914093	0.014696719	-0.23802264	0.3241145	0.0820732	0.7022171	1.047415	-0.7888963	0.4615364	0.2508597	0.47097838	0.4726306	0.32808977	0.8671568	-0.2978603	-0.74321663	1.0651678	-0.42621943	-0.8069809	-0.19280636	-0.2031453	1.0124081	-1.4521097	0.20024483	-0.7047166	-0.15244769	-0.24721387	-0.06791025	-0.045001604	-0.18517362	-0.31300914	-0.06811504	0.0057398854	-0.9462911	0.29803064	0.008567468	0.84805256	0.17785926	0.40738437	1.0402015	-0.066867776	0.8335922	-0.49015898	1.3665109	-0.2485314	-0.7498376	1.1450545	-0.6074578	0.16926193
1	-1.2576183	0.8030792	-1.0672724	-1.5922637	1.1389542	0.09959723	-0.19390686	0.6414075	0.5311356	-0.24767707	-0.49151865	-0.78676885	-0.4348153	0.54814607	0.18234408	-0.28403276	-0.1003611	0.56185555	0.18215169	-0.8728462	0.14961562	-1.108938	0.40737802	-1.1110498	-0.1696822	0.028824722	0.19617766	-1.825753	1.477444	-0.39431307	0.49695265	-1.2816885	-0.30060133	1.3868613	-0.11581214	-0.67037046	0.6432467	1.9080157	0.8105096	-0.27964288	0.84222263	0.102926314	-0.8198093	-0.63147813	0.93283826	0.40690014	0.09174696	0.19762842	-2.218629	1.6433889	-0.4081204	-0.35198307	0.20217127	0.42187852	0.37264162	0.13305463	0.29852104	-0.5260408	0.5387387	-0.4881001	-0.9620839	-1.9342246	0.8626516	-1.1059171	-0.26539713	0.01683441	0.37720922	-0.341346	1.2297257	0.8244293	-0.31503916	-0.471922	-0.1658467	0.58886534	-0.22865841	-1.1742685	-0.8555035	0.39139745	0.36013588	0.72603035	0.33472747	0.47909704	-0.6570699	-0.6449049	1.9099056	-0.32083485	-1.1377469	-0.96938634	0.15552433	-0.06967035	-0.7315193	-0.83981204	0.17795926	-1.2228897	-0.23962046	0.9161559	0.6450552	0.925148	-0.039645806	-0.28078353
2	-0.246907	1.4893839	-0.716308	0.385524	0.7572375	0.6404044	0.48691288	0.5136371	-0.7265003	0.2770098	-1.8735272	-1.1471888	0.9062682	0.1705815	0.7745248	-1.1800956	0.11081875	0.6033296	-0.50439817	-0.20332569	-0.48929378	-2.4069376	-0.16203737	-0.35207987	-0.26204702	0.5360778	0.35395354	0.8750449	-0.011930297	0.36405432	0.3516276	-0.030537842	-1.3557675	0.06622875	0.44609323	-1.2153255	-0.27520916	-0.0742862	0.30249372	0.6017186	-0.1382576	0.8013439	0.90508294	0.4515057	-0.3813979	0.6749962	0.9293442	-0.35938436	-0.31959882	-1.206147	-0.82202876	0.32170713	0.96973956	-0.2786342	-0.18638557	-1.0276676	-1.0802083	-0.54621935	-0.23762093	-1.0488455	1.0393655	-0.26748043	0.84542364	0.12721042	-0.80808645	0.5755598	1.2566485	1.2469047	-0.8516021	1.3508768	0.4112242	-0.438493	-0.39772436	-0.69141763	-0.16263647	1.339792	0.18280838	0.6052092	0.32222947	0.42906994	0.16857451	0.2658543	-0.3882902	-0.813438	0.49841464	-0.69385415	-1.0717	-1.9748232	1.2445525	-1.1093763	-0.62527096	-1.1173124	0.29497823	-1.0389937	0.24687153	-0.2792157	0.88680255	-0.15506333	1.8558354	0.019898387
3	-0.35368186	2.114084	-0.94041413	-0.34821025	0.48638296	0.29894575	0.10391216	-0.13821924	0.2614816	-0.8052635	0.32447696	1.4711659	-0.059214618	-0.81591916	0.8830499	0.23498574	0.34269062	-0.31079805	-0.43336815	-0.23014145	-1.3267711	-2.026004	0.80300593	0.5508337	-1.46341	-0.679775	-0.24914886	-0.08442029	0.42082447	-0.28300253	0.59694594	-0.3642468	-0.76339066	0.45499936	0.2485527	-0.68500185	1.5050321	0.2336913	-0.9015082	0.8726202	0.3618107	-0.26553217	0.47017717	-0.6163179	0.68010116	0.65478325	0.2901458	-0.020978015	-0.8026597	-0.5690789	0.04196617	-0.19209713	-0.85561836	1.2178335	-0.3293898	0.37059492	-0.19469775	0.7984846	-0.07874683	-0.9477395	-0.011106339	-0.13806386	-0.2874373	0.5251002	-0.43521222	-1.123117	-0.5548548	-0.640285	0.30758926	-0.26575348	0.56517035	0.049743112	-1.4069389	1.7576463	0.5901661	-0.38199493	-0.74682915	0.26439548	-0.13128965	-0.53404886	0.69490623	0.4295882	0.124603264	-0.10347041	0.7365605	-0.00960293	-0.35931143	0.908826	1.0654397	-1.4209154	-1.5388749	-0.47993192	-0.55159277	0.21316853	-1.700762	-1.507942	0.7723855	-0.0288357	-0.53754425	-1.0031691
4	-0.35018963	-0.3338016	-1.7926954	-0.15839224	0.60922736	0.49183968	0.8003833	-0.58732665	-0.22497651	-0.4601478	-0.24754049	-0.083226755	-1.4447663	-0.11164621	-0.12573989	-0.5417336	0.09484627	0.8951777	1.0733656	1.2923822	-1.303249	-0.48478225	-0.38610604	0.2617094	0.76814103	-0.88710254	0.9780668	-0.16900605	0.039812163	-0.3273861	-0.09348479	-0.33949825	0.09271843	-0.6107041	-0.8072736	-2.0151086	0.070737004	-0.42508742	0.8939961	0.33117375	-0.7306214	0.43476975	0.29236123	-0.12204217	0.52769464	1.2381831	-1.3620927	1.6939877	-1.0909181	-0.73000216	0.12510252	-0.2115306	2.140199	0.6877602	1.3072909	-0.035302676	-0.024488952	0.35422292	-0.6066286	-0.5478833	0.5546418	-1.4165603	0.03522105	0.602182	-0.5535165	-0.5277523	-0.3829067	0.18024762	1.3087814	-0.7991929	-0.91777545	-0.24581677	1.2992532	-0.06280352	0.20409977	-0.23799542	-1.9279331	0.87841517	0.43867987	-1.76929	1.1030507	0.5392143	-0.34798545	-0.29940736	1.0211211	0.32220683	1.7380506	-0.6612873	-0.156635	1.1409224	-0.24590948	-0.052349318	0.35652667	0.031979192	-1.36923	-0.6253405	-0.19021031	0.46899128	-0.025851881	-0.75440353
5	0.5806168	1.5512757	-0.33384153	-0.69175524	-0.69698924	-0.37632746	-0.5558537	0.4269985	0.051571783	0.5771527	-0.57074726	-0.31090376	1.1347411	-0.8259322	1.0274365	-1.2149369	0.60689974	-0.46393555	0.22620058	0.6632403	-0.769513	-0.8681969	-0.04758143	0.45147142	-1.6724333	-0.5347409	0.2799542	-0.6046653	1.5119756	-0.53484666	0.5216645	0.035693448	-1.8332077	0.29181442	0.31050116	0.31032777	0.88022476	0.49527732	-0.040136617	0.33578727	-0.5894003	0.7748069	0.93688905	0.523382	-0.84568596	0.8981592	-0.657982	-0.11375392	-1.6407051	0.10326375	-1.3999008	0.040438436	0.7079918	0.9024753	-0.27528167	-0.52984476	0.50167835	-0.5223453	-0.45850492	-0.7799353	0.17836173	-0.9574442	-0.4374195	-0.26538944	-1.4791965	-0.20728156	-0.96646184	0.36741963	0.1744608	0.18533196	-0.3021152	-0.8449116	-0.2962391	-0.11519238	-0.31348225	1.1081897	-0.41757804	0.45377776	0.45667025	0.89636534	0.31338075	-0.87709355	0.43792543	-0.10389029	0.28770563	0.032764837	-1.0736489	-0.090101615	0.73356754	-0.6704857	-0.51347446	0.23321684	-1.7381649	-0.70127857	-0.33168092	0.9892457	-0.21335688	-0.93644166	0.33173245	0.6023345
6	-0.08383902	0.048333675	-0.30784228	-0.18677276	0.592418	-0.58664036	0.26483524	1.2458189	-0.14416023	0.4248793	0.13093674	-1.2882059	-0.5370244	0.73282534	0.4966918	0.043750226	-0.17673384	0.5561408	-0.06262248	-0.19082958	-0.050291102	-1.072839	-0.074750155	-0.2471217	-0.058907732	-0.290022	0.25058636	-0.8332114	0.6483662	-0.28049248	0.6627236	0.9674661	-0.32117337	-0.00020241755	-0.262956	-0.4321401	0.53209054	-1.1898887	0.3179249	-0.9248716	0.38121238	-0.1536636	1.0414045	-0.6851834	0.2947228	1.0442914	-0.10655856	1.0105654	-0.949424	-0.569397	-0.44971156	-0.47478774	0.75055754	0.32719058	0.09886284	0.37232897	0.39459395	-0.18688442	-0.40106085	-0.23800707	0.41744876	-0.5971544	0.3316701	-0.21817264	-0.9267524	-0.11644146	-0.23383111	-0.9376689	-0.11291511	-0.2955057	-1.1160657	-0.55507547	-0.8370836	-0.82379514	0.58841765	-0.10714213	0.5321361	0.6669431	0.41833362	0.88049585	0.6077902	-0.326478	-0.67449516	-0.23266262	0.53965896	0.50077176	0.68235505	-0.05485459	-1.2254212	0.51313907	-0.13527808	-0.28387773	-0.7215773	-0.07434046	-0.22065786	-0.4443107	-0.45143664	-1.3100688	-0.017304175	-0.119774856
7	-0.44569683	1.7586563	0.14177884	-0.38168514	0.36395946	0.4176983	0.9415655	-0.2767178	-0.1460167	-0.14867723	-0.060141094	-0.49215546	0.6667601	-0.82140994	-0.21588147	0.49955386	0.11324751	0.34851426	-0.11362642	-0.56583136	-1.2708212	-0.8422058	-0.1434442	0.1431275	-0.69909286	0.36654583	-0.9934225	0.22215919	0.14881188	-0.73351866	0.08449927	1.0545558	-0.86504215	0.04767815	0.48431903	-1.7894824	-1.0122424	-1.0815524	1.023627	0.50803053	1.3843586	-0.46697083	0.9961171	-0.37778875	0.22745417	0.706756	0.86274254	-0.56159955	0.598799	-0.9005343	-0.02889631	0.32307586	1.444071	0.51325536	-0.5327214	-0.14083457	-0.1334729	1.0945507	-0.4682446	0.12184865	0.2876713	-0.00956963	0.4152279	1.0089968	1.2897934	-0.29503933	-0.877144	-0.8259868	0.6281156	0.56908995	1.0366127	-0.16413474	-0.7114851	-0.081996	0.46935028	-0.56533325	-0.3865357	-0.35090312	0.16841501	-0.7401164	-0.593073	0.05133064	-0.020706967	0.6340715	0.63716716	0.2868227	0.5189266	1.0211726	1.0287468	0.78178024	-0.9911151	-0.9899034	-1.6093191	0.59406805	-1.2012811	-1.8724204	0.35844737	-0.27007008	0.07491439	-0.8899849
8	-0.7258976	1.4087397	-0.07336043	0.20154995	0.3511634	-0.39512944	-0.62860197	-0.3441404	-1.5274707	1.4364883	0.25563264	-0.9538175	0.58362764	-1.3372078	1.4412665	0.017816523	0.4965541	-0.70963925	0.056510814	-0.23013325	-0.59549874	-0.21251586	-0.9991003	0.18596905	-0.7862033	0.40201917	0.14911103	-0.9750155	1.0139053	-1.5350114	0.575242	-1.5850898	0.46791238	-0.3445776	0.100674994	-0.105429605	0.25353473	0.72868216	1.5774622	0.42428404	0.016357575	0.8425356	1.09391	-0.5222103	-0.24741483	1.6635355	0.43885618	0.13748479	-2.6496618	-0.19324273	-1.212352	1.0664138	-0.3542969	1.7703203	1.1174697	0.3178479	0.053119857	0.0015871479	0.6647812	-0.41487738	-0.33766663	-1.1634318	0.74643135	-0.112072915	-1.3438431	-1.1315873	-0.24936517	0.5949754	0.2711378	0.5004843	-1.967526	-1.0230924	-0.26783314	0.64715344	0.91703624	-0.92419565	-0.94790316	0.38316843	-0.101102516	0.6706732	0.18373737	-0.2495068	-0.48370194	-0.20652921	0.6969353	-0.39175722	-1.6180671	-0.33085656	-0.040630024	-0.6346275	-1.458926	-0.18278077	-0.6674589	-0.5465417	-0.8381138	1.4004111	1.3260347	0.039215546	0.21934044	-0.8333594
9	-0.12601668	2.0145953	-1.2860793	-0.014591976	0.7983952	0.39888132	0.5218025	-0.33817366	-0.95275974	0.2915642	-0.041993234	-0.7142847	-0.016701296	-0.7377165	-0.35432777	-0.06889427	0.32250428	-0.5688463	0.309236	-0.5439129	-1.1093045	-1.606868	0.6954929	-0.18967815	-0.58258015	-0.112875625	-0.63603926	0.06896074	0.055191714	-0.93075526	0.86292744	0.98168623	-0.9142546	0.984401	-0.48035112	0.073177315	-0.22465685	0.0033528442	-0.12738779	0.25428537	0.66869324	0.16101824	0.17658767	-0.6088707	-0.43469056	0.46308732	1.1048541	-0.57333505	-0.25502422	-0.1724655	0.7587484	0.18429165	0.5025649	0.7236651	-0.5252661	-0.5753408	-0.90906596	0.39980018	0.19613194	-1.1768756	0.8695435	0.081808574	0.92798895	-0.36180618	-0.40498617	0.049081944	-0.19853172	-0.7470799	0.0054185567	0.7489208	-0.07129184	0.4041312	-0.76708573	0.2234876	-0.10897743	0.037512477	-1.273665	0.4424265	0.79878116	-0.556809	0.25286868	0.82561505	0.7107958	-0.56537765	1.1917692	-0.42242932	-0.9672811	-0.15491892	0.81357694	-0.7407519	-1.4231035	-0.764817	-0.6765295	-0.12682258	-1.0575787	-0.6554988	0.4561775	0.4159445	0.2609894	0.1667307
